adminNm,adminPttnCd,longTermAdminSym,longTermPeribRgtDt,siDoCd,siGunGuCd,stpRptDt
한나 재가복지센터,C01,34215000160,20140214,42,150,20140214
한나 재가복지센터,C03,34215000160,20140214,42,150,20140214
이원건강의료기 강릉점,C06,34215000165,20140530,42,150,20140530
희망재가요양센터,C01,34215000168,20140701,42,150,20140701
나눔의료기,C06,34215000171,20140728,42,150,20140728
효사랑복지센터,C03,34215000186,20141231,42,150,20141231
정한방문요양센터,C01,34215000201,20150622,42,150,20150622
유진재가장기방문기관,C01,34215000202,20150624,42,150,20150624
누가노인복지센터,C01,34215000216,20151125,42,150,20151125
기쁨요양방문센터,C01,34215000217,20151204,42,150,20151204
굿모닝의료기,C06,34215000219,20151223,42,150,20151223
성덕방문요양센터,C01,34215000231,20160601,42,150,20160601
서로사랑재가장기요양기관,C01,34215000232,20160614,42,150,20160614
고려보조기,C06,34215000237,20160805,42,150,20160805
은혜재가복지센터,C01,34215000245,20161201,42,150,20161201
은혜재가복지센터,C02,34215000245,20161201,42,150,20161201
강릉자활종합돌봄센터,C01,34215000247,20170315,42,150,20170315
엔젤방문요양센터,C01,34215000250,20170601,42,150,20170601
엔젤방문요양센터,C02,34215000250,20170601,42,150,20170601
한빛재가복지센터,C01,34215000256,20170922,42,150,20170922
강릉용지노인주간센터,C01,34215000258,20171016,42,150,20171016
강릉용지노인주간센터,C02,34215000258,20171016,42,150,20171016
강릉용지노인주간센터,C03,34215000258,20171016,42,150,20171016
사임당재가복지센터,C01,34215000265,20180302,42,150,20180302
고은맘방문요양센터,C01,34215000270,20180501,42,150,20180501
따슴재가요양기관 유한회사,C02,34215000273,20180816,42,150,20180816
온누리방문요양센터,C01,34215000277,20180905,42,150,20180905
동행재가복지센터,C03,34213000193,20141016,42,130,20141016
동행재가복지센터,C05,34213000193,20141016,42,130,20141016
나눔재가장기요양기관,C05,34215000007,20080605,42,150,20080530
하주재가노인복지센터,C01,34215000307,20191126,42,150,20191126
정한방문요양센터Ⅱ,C01,34215000309,20191212,42,150,20191212
정한방문요양센터Ⅱ,C02,34215000309,20191212,42,150,20191212
동해메디칼 재가장기요양기관,C01,34217000022,20080728,42,170,20080728
희망 방문간호.요양사업소,C01,34217000025,20080801,42,170,20080801
희망 방문간호.요양사업소,C02,34217000025,20080801,42,170,20080801
희망 방문간호.요양사업소,C05,34217000025,20080801,42,170,20080801
동해지역자활센터부설 재가장기요양기관,C01,34217000037,20090202,42,170,20090128
가정방문노인장기요양기관,C01,34217000044,20091106,42,170,20091103
가정방문노인장기요양기관,C02,34217000044,20091106,42,170,20091103
실버메디칼,C06,34217000054,20110210,42,170,20110210
동해비전재가장기요양기관,C01,34217000072,20150101,42,170,20150101
동해비전재가장기요양기관,C02,34217000072,20150101,42,170,20150101
햇살재가요양센터,C01,34217000078,20170201,42,170,20170201
사랑재가장기요양센터,C01,34217000080,20171116,42,170,20171116
효심재가복지센터,C01,34217000081,20171127,42,170,20171127
우리이웃 노인요양센터,C01,34217000082,20171204,42,170,20171204
우리이웃 노인요양센터,C02,34217000082,20171204,42,170,20171204
성심의료기,C06,34217000083,20180109,42,170,20180109
온누리노인재가복지센터,C01,34217000084,20180212,42,170,20180212
아리아케어 방문요양 동해센터,C01,34217000088,20190411,42,170,20190411
아리아케어 방문요양 동해센터,C02,34217000088,20190411,42,170,20190411
우리누리노인복지센터,C03,34215000278,20181126,42,150,20181126
마음두배 재가방문요양센터,C01,34215000280,20181222,42,150,20181222
사랑방재가복지센터,C01,34215000283,20190305,42,150,20190305
사랑방재가복지센터,C02,34215000283,20190305,42,150,20190305
사랑모아재가복지센터,C01,34215000285,20190315,42,150,20190315
정순화재가복지센터,C01,34215000286,20190410,42,150,20190410
다온재가복지센터,C01,34215000295,20190911,42,150,20190911
다온재가복지센터,C02,34215000295,20190911,42,150,20190911
행복재가복지센터,C01,34215000300,20191101,42,150,20191101
스마일재가센터,C01,34217000094,20191101,42,170,20191101
은빛재가복지센터,C01,34217000097,20191129,42,170,20191129
동해방문간호센터,C05,34217000098,20191129,42,170,20191129
태백희망복지용구,C06,34219000018,20150625,42,190,20150625
동방의료기,C06,34221000008,20081010,42,210,20081009
대명의료기상사,C06,34221000012,20081210,42,210,20081210
실로암재가장기요양센터,C01,34221000016,20090410,42,210,20090410
실로암재가장기요양센터,C02,34221000016,20090410,42,210,20090410
건강재가서비스센터,C01,34221000018,20090528,42,210,20090522
건강재가서비스센터,C02,34221000018,20090528,42,210,20090522
거산메디칼,C06,34221000026,20091009,42,210,20091009
나눔사회복지회,C01,34221000036,20100624,42,210,20100624
나눔사회복지회,C02,34221000036,20100624,42,210,20100624
천사요양복지관,C01,34221000037,20100811,42,210,20100811
천사요양복지관,C02,34221000037,20100811,42,210,20100811
천사요양복지관,C03,34221000037,20100811,42,210,20100811
섬김복지센터,C01,34221000053,20120330,42,210,20120330
섬김복지센터,C02,34221000053,20120330,42,210,20120330
다사랑 노인복지센터,C01,34221000055,20120801,42,210,20120801
다사랑 노인복지센터,C02,34221000055,20120801,42,210,20120801
우리재가복지센터,C01,34221000057,20120905,42,210,20120905
우리재가복지센터,C02,34221000057,20120905,42,210,20120905
만천재가노인복지센터,C01,34221000067,20150803,42,210,20150803
예람노인주간보호센터,C03,34221000068,20151012,42,210,20151012
성실노인복지센터,C01,34221000070,20151219,42,210,20151219
설악의료기,C06,34221000072,20160624,42,210,20160623
금빛재가노인복지센터,C01,34221000073,20160712,42,210,20160711
금빛재가노인복지센터,C02,34221000073,20160712,42,210,20160711
온정노인복지센터,C01,34221000078,20180102,42,210,20180102
온정노인복지센터,C02,34221000078,20180102,42,210,20180102
동부케어 재가노인복지센터,C01,34221000080,20180201,42,210,20180201
동부케어 재가노인복지센터,C02,34221000080,20180201,42,210,20180201
강원보조기·의료기·벨톤보청기,C06,34221000081,20180425,42,210,20180425
주식회사 해피통합돌봄센터,C01,34223000011,20080616,42,230,20080616
주식회사 해피통합돌봄센터,C02,34223000011,20080616,42,230,20080616
삼척의료기,C06,34223000016,20080707,42,230,20080707
경희의료기,C06,34223000022,20081001,42,230,20081001
삼척종합재가노인복지센터,C06,34223000040,20090925,42,230,20090921
참사랑종합복지센터,C01,34223000048,20100208,42,230,20100202
참사랑종합복지센터,C02,34223000048,20100208,42,230,20100202
오렌지카운티 재가복지센터,C01,34223000050,20100826,42,230,20100823
오렌지카운티 재가복지센터,C02,34223000050,20100826,42,230,20100823
주식회사 비지팅엔젤스삼척,C01,34223000053,20111222,42,230,20111222
주식회사 비지팅엔젤스삼척,C02,34223000053,20111222,42,230,20111222
해바라기장기요양센터,C01,34223000054,20120110,42,230,20120110
&quot;(AA+)&quot;한빛재가복지센터,C01,34223000060,20130901,42,230,20130901
&quot;(AA+)&quot;한빛재가복지센터,C02,34223000060,20130901,42,230,20130901
사회복지센타 행복만들기,C01,34223000061,20130923,42,230,20130923
사랑애울타리 노인장기요양센터,C01,34223000062,20131105,42,230,20131105
실버복지용구판매소,C06,34223000064,20140106,42,230,20140106
믿음요양보호사센터,C01,34223000066,20140513,42,230,20140513
믿음요양보호사센터,C02,34223000066,20140513,42,230,20140513
삼척요양보호사교육원부설방문간호센터,C05,34223000067,20140519,42,230,20140519
햇살요양보호센터,C01,34223000068,20141002,42,230,20141002
다사랑 재가복지센터,C01,34223000071,20150415,42,230,20150415
행복한데이케어센터,C01,34223000075,20160309,42,230,20160309
행복한데이케어센터,C03,34223000075,20160309,42,230,20160309
&quot;(A)비지팅엔젤스 삼척지점,C01,34223000076,20161013,42,230,20161013
&quot;(A)비지팅엔젤스 삼척지점,C02,34223000076,20161013,42,230,20161013
굿해피니스사회복지센터,C01,34223000077,20170131,42,230,20170131
굿해피니스사회복지센터,C02,34223000077,20170131,42,230,20170131
따뜻한 방문요양재가센터,C01,34223000082,20180124,42,230,20180124
한울 재가 복지센터,C01,34223000083,20180207,42,230,20180207
한울 재가 복지센터,C02,34223000083,20180207,42,230,20180207
도계 사랑애울타리 노인장기요양센터,C01,34223000084,20180920,42,230,20180920
도계 사랑애울타리 노인장기요양센터,C02,34223000084,20180920,42,230,20180920
다온돌봄서비스센터,C01,34223000085,20181015,42,230,20181015
공감재가노인복지센터,C01,34223000086,20181201,42,230,20181201
해바라기재가복지센터,C01,34223000089,20190515,42,230,20190515
해바라기재가복지센터,C02,34223000089,20190515,42,230,20190515
나눔의료기,C06,34223000092,20190826,42,230,20190826
한양건강의료기,C06,34223000098,20191211,42,230,20191211
정 의료기,C06,34223000099,20191211,42,230,20191211
명서한의원 부설 재가장기요양센터,C01,34272000001,20080609,42,720,20080609
명서한의원 부설 재가장기요양센터,C02,34272000001,20080609,42,720,20080609
우리복지센터,C01,34272000002,20080624,42,720,20080624
우리복지센터,C02,34272000002,20080624,42,720,20080624
우리효자람 노인복지센터,C03,34211000350,20181001,42,110,20181001
도움누리재가복지센터,C01,34211000359,20190318,42,110,20190318
도움누리재가복지센터,C02,34211000359,20190318,42,110,20190318
천수노인복지센터,C01,34211000362,20190501,42,110,20190501
천수노인복지센터,C02,34211000362,20190501,42,110,20190501
강릉사랑재가복지센타,C01,34215000023,20080624,42,150,20080623
강릉사랑재가복지센타,C02,34215000023,20080624,42,150,20080623
강릉사랑재가복지센타,C05,34215000023,20080624,42,150,20080623
신화메디칼,C06,34215000033,20080716,42,150,20080714
가나의료기,C06,34215000034,20080716,42,150,20080715
(I)에이플러스홈 재가복지센터,C01,34215000035,20080813,42,150,20080808
(I)에이플러스홈 재가복지센터,C02,34215000035,20080813,42,150,20080808
연서메디칼,C06,34215000038,20080908,42,150,20080904
강릉의료기,C06,34215000040,20081030,42,150,20081029
가애노인요양센터,C01,34215000044,20081126,42,150,20081125
가애노인요양센터,C02,34215000044,20081126,42,150,20081125
희망방문센터,C01,34272000005,20080626,42,720,20080626
희망방문센터,C02,34272000005,20080626,42,720,20080626
희망방문센터,C03,34272000005,20080626,42,720,20080626
희망방문센터,C05,34272000005,20080626,42,720,20080626
건강의료기,C06,34272000020,20081022,42,720,20081022
은빛세상파란마을,C01,34272000031,20090701,42,720,20090701
은빛세상파란마을,C02,34272000031,20090701,42,720,20090701
홍천새마을금고 노인재가복지센터,C01,34272000037,20100202,42,720,20100202
홍천새마을금고 노인재가복지센터,C02,34272000037,20100202,42,720,20100202
희망복지센타,C01,34272000052,20120501,42,720,20120501
희망복지센타,C02,34272000052,20120501,42,720,20120501
Dream(드림)복지센터,C01,34272000059,20140101,42,720,20140101
Dream(드림)복지센터,C02,34272000059,20140101,42,720,20140101
요선요양센터,C01,34272000062,20140901,42,720,20140901
요선요양센터,C02,34272000062,20140901,42,720,20140901
한빛요양원재가센터,C01,34272000065,20150306,42,720,20150306
한빛요양원재가센터,C02,34272000065,20150306,42,720,20150306
다함재가복지센터,C01,34272000067,20150708,42,720,20150708
다함재가복지센터,C02,34272000067,20150708,42,720,20150708
하눌타리,C01,34272000068,20151102,42,720,20151102
서석재가노인복지센터,C01,34272000072,20161020,42,720,20161020
서석재가노인복지센터,C03,34272000072,20161020,42,720,20161020
스마일시니어 플러스방문요양센터,C01,34272000074,20180531,42,720,20180531
스마일시니어 플러스방문요양센터,C02,34272000074,20180531,42,720,20180531
고려의료기,C06,34211000002,20080607,42,110,20080607
양지재가요양센터,C01,34211000027,20080701,42,110,20080701
양지재가요양센터,C02,34211000027,20080701,42,110,20080701
강원의료기상사,C06,34211000035,20080708,42,110,20080624
솔고바이오메디칼,C06,34211000041,20080709,42,110,20080709
그린노인복지센터,C01,34211000052,20081009,42,110,20081009
그린노인복지센터,C02,34211000052,20081009,42,110,20081009
그린노인복지센터,C05,34211000052,20081009,42,110,20081009
우리재가복지센터,C01,34211000053,20081016,42,110,20081014
우리재가복지센터,C05,34211000053,20081016,42,110,20081014
어르신돌봄센터,C01,34211000055,20081028,42,110,20081028
메디존의료기,C06,34211000061,20081208,42,110,20081208
노인요양방문센터,C01,34211000063,20081209,42,110,20081203
노인요양방문센터,C02,34211000063,20081209,42,110,20081203
장수방문요양센터,C02,34211000073,20090312,42,110,20090306
연구복지용구지원센터,C06,34211000081,20090525,42,110,20090525
노인방문요양센터 에벤에셀,C01,34211000089,20090706,42,110,20090630
노인방문요양센터 에벤에셀,C02,34211000089,20090706,42,110,20090630
단비재가센터,C01,34211000121,20100201,42,110,20100201
단비재가센터,C02,34211000121,20100201,42,110,20100201
가버나움복지센터,C01,34211000138,20101008,42,110,20101008
가버나움복지센터,C02,34211000138,20101008,42,110,20101008
누리다솜노인복지센터,C01,34211000141,20101111,42,110,20101111
소망노인복지센터,C01,34211000146,20110128,42,110,20110128
소망노인복지센터,C02,34211000146,20110128,42,110,20110128
동원노인복지센터,C01,34211000148,20110210,42,110,20110210
동원노인복지센터,C02,34211000148,20110210,42,110,20110210
효사랑 노인복지센터,C01,34211000157,20110808,42,110,20110808
효사랑 노인복지센터,C02,34211000157,20110808,42,110,20110808
100세동안 춘천점,C06,34211000158,20110901,42,110,20110901
샬롬실버홈재가센터,C01,34211000171,20120901,42,110,20120901
드림복지센터,C01,34211000206,20131220,42,110,20131220
드림복지센터,C02,34211000206,20131220,42,110,20131220
행복드림노인복지센터,C01,34211000213,20140303,42,110,20140303
행복드림노인복지센터,C02,34211000213,20140303,42,110,20140303
행복드림노인복지센터,C05,34211000213,20140303,42,110,20140303
효다함노인복지센터,C01,34211000239,20150323,42,110,20150323
우리동네노인복지센터,C01,34211000242,20150422,42,110,20150422
우리동네노인복지센터,C02,34211000242,20150422,42,110,20150422
심청이재가복지센터,C01,34211000247,20150820,42,110,20150819
은빛나래복지센터,C01,34211000248,20150914,42,110,20150914
자양방문노인복지센터,C01,34211000263,20160202,42,110,20160202
자양방문노인복지센터,C02,34211000263,20160202,42,110,20160202
샬롬재가복지센터,C01,34211000265,20160304,42,110,20160225
샬롬재가복지센터,C02,34211000265,20160304,42,110,20160225
다온노인복지센터,C03,34211000283,20160811,42,110,20160811
큰사랑노인복지센터,C01,34211000291,20161001,42,110,20161001
큰사랑노인복지센터,C02,34211000291,20161001,42,110,20161001
기쁨더하기요양보호센터,C01,34211000297,20161104,42,110,20161104
기쁨더하기요양보호센터,C02,34211000297,20161104,42,110,20161104
기쁨더하기요양보호센터,C03,34211000297,20161104,42,110,20161104
햇살노인방문요양센터,C01,34211000299,20161111,42,110,20161104
햇살노인방문요양센터,C02,34211000299,20161111,42,110,20161104
김경희재가복지센터,C01,34211000300,20161219,42,110,20161219
김경희재가복지센터,C02,34211000300,20161219,42,110,20161219
혜경재가노인복지센터,C01,34211000302,20170124,42,110,20170124
혜경재가노인복지센터,C02,34211000302,20170124,42,110,20170124
e편한 노인복지센터,C01,34211000305,20170301,42,110,20170301
e편한 노인복지센터,C02,34211000305,20170301,42,110,20170301
주사랑노인복지센터,C01,34211000311,20170522,42,110,20170522
주사랑노인복지센터,C02,34211000311,20170522,42,110,20170522
수빈재가노인복지센터,C03,34211000313,20170608,42,110,20170608
사랑으로방문요양센터,C01,34211000314,20170620,42,110,20170620
사랑으로방문요양센터,C02,34211000314,20170620,42,110,20170620
춘천나눔돌봄센터,C01,34211000317,20170801,42,110,20170801
다사랑노인복지센터,C01,34211000319,20170808,42,110,20170808
다사랑노인복지센터,C02,34211000319,20170808,42,110,20170808
효나누미방문요양센터,C01,34211000322,20171001,42,110,20171001
효나누미방문요양센터,C02,34211000322,20171001,42,110,20171001
A플러스 복지용구,C06,34211000323,20171101,42,110,20171101
보필재가요양센터,C01,34211000324,20171130,42,110,20171130
보필재가요양센터,C02,34211000324,20171130,42,110,20171130
참조은노인복지센터,C01,34211000328,20180201,42,110,20180201
참조은노인복지센터,C03,34211000328,20180201,42,110,20180201
제일재가복지센터,C01,34211000338,20180410,42,110,20180410
제일재가복지센터,C02,34211000338,20180410,42,110,20180410
굿모닝의료기,C06,34211000340,20180523,42,110,20180523
스마일 재가노인복지센터,C03,34211000342,20180611,42,110,20180611
&quot;A 강원통합재가요양센터,C01,34211000343,20180701,42,110,20180701
&quot;A 강원통합재가요양센터,C02,34211000343,20180701,42,110,20180701
&quot;A 강원통합재가요양센터,C03,34211000343,20180701,42,110,20180701
&quot;A 강원통합재가요양센터,C05,34211000343,20180701,42,110,20180701
교동재가노인복지센터,C01,34211000384,20191001,42,110,20191001
교동재가노인복지센터,C02,34211000384,20191001,42,110,20191001
정성재가복지센터,C01,34211000385,20191001,42,110,20191001
정성재가복지센터,C02,34211000385,20191001,42,110,20191001
봄내재가복지센터,C01,34211000387,20191023,42,110,20191023
봄내재가복지센터,C02,34211000387,20191023,42,110,20191023
보람재가노인복지센터,C01,34211000390,20191104,42,110,20191104
보람재가노인복지센터,C02,34211000390,20191104,42,110,20191104
함께하는시니어케어센터,C01,34211000395,20191201,42,110,20191201
함께하는시니어케어센터,C02,34211000395,20191201,42,110,20191201
마라나타패밀리방문요양센터,C01,34211000401,20191209,42,110,20191209
마라나타패밀리방문요양센터,C02,34211000401,20191209,42,110,20191209
아리아케어 방문요양 춘천 석사센터,C01,34211000406,20191217,42,110,20191217
아리아케어 방문요양 춘천 석사센터,C02,34211000406,20191217,42,110,20191217
봄재가복지센터,C01,34211000408,20191219,42,110,20191219
봄재가복지센터,C02,34211000408,20191219,42,110,20191219
온누리통합복지센터,C01,34211000412,20191219,42,110,20191219
온누리통합복지센터,C02,34211000412,20191219,42,110,20191219
온누리통합복지센터,C03,34211000412,20191219,42,110,20191219
온누리통합복지센터,C05,34211000412,20191219,42,110,20191219
강원노인요양통합지원센터,C01,34211000413,20200108,42,110,20200108
강원노인요양통합지원센터,C02,34211000413,20200108,42,110,20200108
강원노인요양통합지원센터,C03,34211000413,20200108,42,110,20200108
원주의료사협 길동무,C01,34213000005,20080529,42,130,20080522
원주의료사협 길동무,C02,34213000005,20080529,42,130,20080522
원주의료사협 길동무,C05,34213000005,20080529,42,130,20080522
원주제일노인복지센터,C01,34213000011,20080603,42,130,20080603
원주연세재가복지센터,C01,34213000012,20080605,42,130,20080605
원주연세재가복지센터,C05,34213000012,20080605,42,130,20080605
나눔원주 요양보호사 파견센터,C01,34213000018,20080616,42,130,20080616
기독의료기,C06,34213000033,20080630,42,130,20080630
딸내미 재가장기요양기관,C01,34213000037,20080704,42,130,20080704
원주의료기,C06,34213000040,20080723,42,130,20080723
행복재가장기요양기관,C01,34213000046,20080910,42,130,20080910
행복재가장기요양기관,C02,34213000046,20080910,42,130,20080910
부승원,C01,34213000051,20081014,42,130,20081014
부승원,C02,34213000051,20081014,42,130,20081014
종로의료기,C06,34213000053,20081031,42,130,20081031
원주선한방문요양기관,C01,34213000062,20081229,42,130,20081229
천사노인복지센터,C01,34211000070,20090218,42,110,20090212
천사노인복지센터,C02,34211000070,20090218,42,110,20090212
천사노인복지센터,C03,34211000070,20090218,42,110,20090212
천사노인복지센터,C05,34211000070,20090218,42,110,20090212
장수방문요양센터,C01,34211000073,20090312,42,110,20090306
카네이션 방문요양,C01,34213000099,20100127,42,130,20100127
카네이션 방문요양,C02,34213000099,20100127,42,130,20100127
미소노인방문요양센터,C01,34213000124,20110421,42,130,20110421
문막한사랑요양센터,C01,34213000138,20111025,42,130,20111025
이원건강의료기 원주 성지점,C06,34213000146,20120201,42,130,20120201
원주효노인복지센터,C03,34213000150,20120829,42,130,20120829
대명재가장기요양기관,C01,34213000151,20121016,42,130,20121016
대명재가장기요양기관,C02,34213000151,20121016,42,130,20121016
정다운재가복지센터,C01,34213000152,20121114,42,130,20121114
사랑복지센터,C01,34213000157,20121207,42,130,20121207
사랑복지센터,C02,34213000157,20121207,42,130,20121207
사랑복지센터,C03,34213000157,20121207,42,130,20121207
정수방문요양센터,C01,34213000164,20130801,42,130,20130801
천사의료기,C06,34213000170,20131108,42,130,20131108
패밀리재가방문요양센터,C01,34213000173,20131217,42,130,20131217
효섬김재가복지센터,C03,34213000174,20131219,42,130,20131219
희망 방문요양센터,C01,34213000188,20140922,42,130,20140922
사랑간호데이케어센터,C01,34213000191,20141013,42,130,20141013
사랑간호데이케어센터,C03,34213000191,20141013,42,130,20141013
미송데이케어센터,C03,34213000192,20141013,42,130,20141013
동행재가복지센터,C01,34213000193,20141016,42,130,20141016
정다운노인복지센터,C03,34211000222,20140801,42,110,20140801
참누리노인복지센터,C01,34211000223,20140905,42,110,20140905
참누리노인복지센터,C02,34211000223,20140905,42,110,20140905
참빛노인복지센터,C01,34211000224,20140916,42,110,20140916
참빛노인복지센터,C02,34211000224,20140916,42,110,20140916
원주소망재가복지센터,C01,34213000198,20141204,42,130,20141204
원주소망재가복지센터,C02,34213000198,20141204,42,130,20141204
효장원재가방문요양센터,C01,34213000200,20141226,42,130,20141226
이원건강의료기 원주의료원점,C06,34213000205,20150512,42,130,20150512
사랑으로 채움 재가복지 장기요양센터,C01,34213000208,20150619,42,130,20150619
사랑으로 채움 재가복지 장기요양센터,C02,34213000208,20150619,42,130,20150619
한사랑재가복지센터,C01,34213000222,20160226,42,130,20160226
단비 재가방문요양센터,C01,34213000224,20160322,42,130,20160322
노인돌봄방문요양센터,C01,34213000228,20160513,42,130,20160513
노인돌봄방문요양센터,C02,34213000228,20160513,42,130,20160513
원주밀알노인복지센터,C01,34213000242,20161116,42,130,20161116
가족재가복지요양센터,C03,34213000243,20161206,42,130,20161206
가가호호방문요양센터원주점,C01,34213000246,20170103,42,130,20170103
경희효주간보호센터,C03,34213000256,20170621,42,130,20170621
조해숙재가복지센터 -온맘터치 원주 혁신점-,C01,34213000257,20170623,42,130,20170623
김민세방문요양센터,C01,34213000268,20180801,42,130,20180801
김민세방문요양센터,C02,34213000268,20180801,42,130,20180801
회생방문요양센터,C01,34213000270,20180806,42,130,20180806
회생방문요양센터,C02,34213000270,20180806,42,130,20180806
가온재가복지센터,C01,34213000272,20180813,42,130,20180813
원상철재가방문요양센터,C01,34213000273,20180904,42,130,20180904
원상철재가방문요양센터,C02,34213000273,20180904,42,130,20180904
정은재가노인복지센터,C01,34213000274,20180927,42,130,20180927
시니어데이케어 주은 원주센터,C03,34213000282,20181113,42,130,20181113
경희방문요양센터,C01,34213000284,20190101,42,130,20190101
참사랑방문요양센터,C01,34213000288,20190401,42,130,20190401
아리아케어 방문요양 원주 남부센터,C01,34213000290,20190503,42,130,20190503
아리아케어 방문요양 원주 남부센터,C02,34213000290,20190503,42,130,20190503
연세복지센터,C01,34213000294,20190601,42,130,20190601
연세복지센터,C02,34213000294,20190601,42,130,20190601
행복한 노인들,C01,34213000295,20190612,42,130,20190612
스마일시니어 다원 재가방문요양센터,C01,34213000296,20190619,42,130,20190619
스마일시니어 다원 재가방문요양센터,C02,34213000296,20190619,42,130,20190619
굿모닝방문요양센터/온맘터치 원주중앙점,C01,34213000297,20190701,42,130,20190701
굿모닝방문요양센터/온맘터치 원주중앙점,C02,34213000297,20190701,42,130,20190701
&quot;돌봄&quot; 온맘터치원주점,C01,34213000306,20191001,42,130,20191001
누나방문요양센터,C01,34213000307,20191028,42,130,20191028
로드케어 복지용구,C06,34213000308,20191113,42,130,20191030
가람방문요양센터,C01,34213000310,20191127,42,130,20191127
가람방문요양센터,C02,34213000310,20191127,42,130,20191127
나눔재가장기요양기관,C01,34215000007,20080605,42,150,20080530
가족노인주간보호센터,C03,34283000035,20170616,42,830,20170616
유담재가방문요양센터,C01,34283000040,20180920,42,830,20180920
참조은주간보호센터,C03,34283000041,20190325,42,830,20190325
양양재활재가노인복지센터,C03,34283000042,20191113,42,830,20191113
연우재가복지센터,C01,34272000079,20191004,42,720,20191004
연우재가복지센터,C02,34272000079,20191004,42,720,20191004
천사복지센터,C01,34272000080,20191028,42,720,20191028
A홍천단비재가센터,C01,34272000081,20191211,42,720,20191211
A홍천단비재가센터,C02,34272000081,20191211,42,720,20191211
유한회사 열린사회서비스센터,C01,34273000014,20080709,42,730,20080703
유한회사 열린사회서비스센터,C02,34273000014,20080709,42,730,20080703
유한회사 열린사회서비스센터,C05,34273000014,20080709,42,730,20080703
횡성장기요양센터,C01,34273000017,20080828,42,730,20080828
횡성장기요양센터,C02,34273000017,20080828,42,730,20080828
횡성장기요양센터,C05,34273000017,20080828,42,730,20080828
어르신사랑요양센터,C01,34273000053,20140410,42,730,20140410
어르신사랑요양센터,C02,34273000053,20140410,42,730,20140410
행복마을재가센터,C01,34273000059,20160219,42,730,20160219
행복마을재가센터,C02,34273000059,20160219,42,730,20160219
이원건강의료기 횡성점,C06,34273000071,20180530,42,730,20180530
실버방문요양센터,C01,34273000072,20181127,42,730,20181127
실버방문요양센터,C02,34273000072,20181127,42,730,20181127
실버방문요양센터,C05,34273000072,20181127,42,730,20181127
한사랑노인복지센터,C01,34275000008,20080711,42,750,20080711
C. care workdors,C01,34275000011,20080828,42,750,20080828
C. care workdors,C02,34275000011,20080828,42,750,20080828
조은요양방문센터,C01,34275000022,20101012,42,750,20101012
온누리노인복지센터,C01,34275000024,20120104,42,750,20151016
온누리노인복지센터,C02,34275000024,20120104,42,750,20151016
가나의료기임대복지용구점,C06,34275000029,20141106,42,750,20141106
다온재가노인복지센터,C01,34275000030,20160322,42,750,20160322
